id;graphics_name;long_graphics_name;shirt_name;height;weight;stronger_foot;preferred_side;contract_until;retirement_date;misc_data;person_id
1;y Borders Bacon;engage;PNG;41149;52798;R;B;Parafarmacia Avon RSS;cross-media scalable;Inteligente hard Loan;1
2;generación;quantifying cross-platform auxiliary;reinvent incubate Martinica;59377;92917;R;R;Marca;input generación;RAM intuitive bus;2
3;Pizza;solid Interno;out-of-the-box Torrente Calidad;40767;9543;L;B;users;port Acero;Subida;3
4;Bedfordshire Cuba override;virtual;defectos;80136;48601;L;L;Algodón;Camerún Ergonómico Agente;Colon Producto;4
5;transmit;Bajada;SMTP auxiliary;24202;76931;L;R;Bicicleta Account;Edificio Mesa estructura;escalable Ensalada transmitter;5
6;Barein Emiratos;Guantes Configuración;navigate;24321;64372;L;L;Director;digital;navigating Especialista Director;6
7;Moda Cliente multitarea;Guatemala Ladrillo Mercados;interfaces Cine Director;16255;47592;L;R;Market;Gorro program;deposit networks Marca;7
8;Pelota Realineado;indexing Tunisian Desarrollador;Hormigon;51667;42397;L;R;Hormigon web-enabled Baleares;Negro terciaria Ladrillo;index Azul;8
9;input Técnico;Account Rand payment;Parque Profundo haptic;51495;84005;R;L;index;application;Operativo;9
10;óptima architect exploit;card;Configurable Joyería;69195;14860;B;B;Zapatos;motivadora deposit;Metal Pelota Plástico;10
