id;graphics_name;long_graphics_name;default_role;contract_until;retirement_date;misc_data;person_id
1;Valenciana eyeballs;Account repurpose Mancha;MEMBER;Acero Acero Asociado;Poblado;Polarizado up;1
2;benchmark basado estatica;JSON;DT2;Interfaz;UIC-Franc estrategia Estados;e-services multi-byte Facilitador;2
3;Montenegro Solar generación;Belice Reino;DT2;e-commerce;Normas;Fantástico Buckinghamshire;3
4;Avon;Cantabria mediante transmitting;BOARD_MEMBER;Guapa XML Extremadura;International Franc;Robusto Pataca Hormigon;4
5;withdrawal Rústico Buckinghamshire;moderador invoice;PRESIDENT;Supervisor Metal;Pasaje;Metal Savings pixel;5
6;Moroccan Shilling;middleware SCSI;MEMBER;Account analizada aplicación;generate Acero Salchichas;solutions innovative;6
7;optical;Programable;MATCH_DELEGATE;Totalmente complejidad;Electrónica Pizza;payment Versatil Videojuegos;7
8;24/7;Granito;BOARD_MEMBER;parsing;Platinum;Algodón bandwidth;8
9;Aruba Madera pixel;disintermediate Madera;DT2;visualize;firmware Raton;Malawi Violeta La;9
10;methodologies;copying;BOARD_MEMBER;extend payment;PCI e-business;Barrio Senior implementación;10
