id;name;graphics_name;long_graphics_name;capacity;opening_date;field_size;is_artificial_grass;address;geographic_location;details;misc_data
1;Refinado Pollo;Vasco didactica;Madrid primary;75930;Bacon;wireless;75348;Rojo GB Salud;backing;solutions AI;heurística withdrawal
2;Optimización;Account Toallas deposit;back;89329;Inteligente Galicia;Usabilidad Account;28150;Account whiteboard open-source;JSON;Pollo SSL;compuesto Soluciones Progresivo
3;Práctico Guapo generating;synthesizing intermedia;invoice iterate;90467;Normas e-services Account;Camiseta;51843;Brasil;Negro Web;input bricks-and-clicks;Morado Música Papelería
4;Planificador;Joyería;Guantes hacking Cine;79174;invoice Riera;Huerta Guapo one-to-one;32937;invoice Plástico;best-of-breed Madera;Marruecos Pound applications;Camiseta deposit Mancha
5;estrategia Vía Pre-emptivo;mobile Toallas Plástico;de infomediaries Mesa;9794;payment;action-items;22364;online copy Distrito;Pollo Equilibrado Baleares;Savings;Ladrillo reboot Marketing
6;ejecutiva;systems Blanco;éxito open-source;70377;Clonado;Chalet;56361;mano;array mobile HTTP;transmit JSON;streamline Algodón Madera
7;Teclado;programming firewall Ergonómico;platforms Indian Extremadura;13566;Ngultrum alianza;Loan En;14956;virtual TCP Acero;gestión compressing Edificio;Orígenes Entrada models;e-markets Mesa
8;Pequeño Queso reboot;Salud Total Cine;Ladrillo Murcia;7604;Moda;Seychelles Multi Singapore;9291;Castilla state Enfocado;Berkshire;matrix Amarillo Avon;Riel cross-media Angola
9;JSON Distribuido Gorro;Blanco bypass;programming Configuración web-readiness;439;optical Rand;Investment;59942;Negro dedicada;morph sensor virtual;Técnico SCSI;motivadora
10;synthesizing Hecho;brand JSON matrix;Refinado utilize;92018;Cambridgeshire Avon Organizado;Supervisor;76145;Entrada Fundamental;withdrawal Hecho Azul;Shilling monitorizar;SCSI
